genre,category,title,year,distribution,description,url,cover_photo
Sci-Fi,Hollywood,Avengers - Age of Ultron,2015,BluRay,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and it is up to the Avengers to stop the villainous Ultron from enacting his terrible plans....<more>",https://fzmovies.net/movie-Avengers%20-%20Age%20of%20Ultron--hmp4.htm,https://fzmovies.net/imdb_images/Avenger.Age.of.Ultron.2015.jpg
Sci-Fi,Hollywood,Shang Chi and the Legend of the Ten Rings,2021,BluRay,"Shang-Chi, the master of unarmed weaponry-based Kung Fu, is forced to confront his past after being drawn into the Ten Rings organization.Tags : superhero | marvel comics | based on comic | martial arts | dragon...<more>",https://fzmovies.net/movie-Shang%20Chi%20and%20the%20Legend%20of%20the%20Ten%20Rings--hmp4.htm,https://fzmovies.net/imdb_images/Shang.Chi.and.the.Legend.of.the.Ten.Rings.2021.jpg
Sci-Fi,Hollywood,Alita Battle Angel,2019,BluRay,"Alita is a creation from an age of despair. Found by the mysterious Dr. Ido while trolling for cyborg parts, Alita becomes a lethal, dangerous being. She cannot remember who she is, or where she came from. But to Dr. Ido, the truth is all too clear. She is the one being who can break the cycle of…Tags : cyberpunk | dystopia | cyborg...<more>",https://fzmovies.net/movie-Alita%20Battle%20Angel--hmp4.htm,https://fzmovies.net/imdb_images/Alita.Battle.Angel.2019.jpg
Sci-Fi,Hollywood,Thor - Love and Thunder,2022,BluRay,"Thor enlists the help of Valkyrie, Korg and ex-girlfriend Jane Foster to fight Gorr the God Butcher, who intends to make the gods extinct.",https://fzmovies.net/movie-Thor%20-%20Love%20and%20Thunder--hmp4.htm,https://fzmovies.net/imdb_images/Thor.Love.and.Thunder.2022.jpg
Sci-Fi,Hollywood,Doctor Strange in the Multiverse of Madness,2022,BluRay,"Dr. Stephen Strange casts a forbidden spell that opens the doorway to the multiverse, including alternate versions of himself, whose threat to humanity is too great for the combined forces of Strange, Wong, and Wanda Maximoff.Tags : marvel comics | second part | superhero | based on comic | shared universe...<more>",https://fzmovies.net/movie-Doctor%20Strange%20in%20the%20Multiverse%20of%20Madness--hmp4.htm,https://fzmovies.net/imdb_images/Doctor.Strange.in.the.Multiverse.of.Madness.2022.jpg
Sci-Fi,Hollywood,Terminator - Dark Fate,2019,BluRay,"More than two decades have passed since Sarah Connor prevented Judgment Day, changed the future, and re-wrote the fate of the human race. Dani Ramos (Natalia Reyes) is living a simple life in Mexico City with her brother (Diego Boneta) and father when a highly advanced and deadly new Terminator - a…Tags : sequel...<more>",https://fzmovies.net/movie-Terminator%20-%20Dark%20Fate--hmp4.htm,https://fzmovies.net/imdb_images/Terminator.Dark.Fate.2019.jpg
Sci-Fi,Hollywood,The Avengers,2012,BluRay,"Nick Fury is director of S.H.I.E.L.D, an international peace keeping agency. The agency is a who's who of Marvel Super Heroes, with Iron Man, The Incredible Hulk, Thor, Captain America, Hawkeye and Black Widow. When global security is threatened by Loki and his cohorts, Nick Fury and his team will need all their powers to save the world from disaster. ...<more>",https://fzmovies.net/movie-The%20Avengers--hmp4.htm,https://fzmovies.net/imdb_images/The%20Avengers.jpg
Sci-Fi,Hollywood,Hellboy 2019,2019,BluRay,"Based on the graphic novels by Mike Mignola, Hellboy, caught between the worlds of the supernatural and human, battles an ancient sorceress bent on revenge. Tags : hell | devil | magic...<more>",https://fzmovies.net/movie-Hellboy%202019--hmp4.htm,https://fzmovies.net/imdb_images/Hellboy.2019.jpg
Sci-Fi,Hollywood,Gemini Man,2019,BluRay,"A retiring assassin, Henry Brogan, finds himself pursued by a mysterious killer that can predict his every move. Discovering that he's being hunted by a younger clone of himself, Henry needs to find out why he's being targeted and who the creator is. Written by bixy gelloTags : hitman...<more>",https://fzmovies.net/movie-Gemini%20Man--hmp4.htm,https://fzmovies.net/imdb_images/Gemini.Man.2019.jpg
Sci-Fi,Hollywood,Spider Man Into the Spider Verse,2018,BluRay,"Miles Morales comes across the long-dead Peter Parker. This Peter Parker is not from his world though; he's from somewhere else in the multiverse. With Parker's guidance, Miles will become Spider-Man: and through that he will become part of the ever-expanding 'Spider-Verse'. Written by Johnny...<more>",https://fzmovies.net/movie-Spider%20Man%20Into%20the%20Spider%20Verse%20--hmp4.htm,https://fzmovies.net/imdb_images/Spider.Man.Into.The.Spider.Versee.2018.jpg
Sci-Fi,Hollywood,Eternals,2021,BluRay,"The saga of the Eternals, a race of immortal beings who lived on Earth and shaped its history and civilizations.Tags : superhero | marvel comics | based on comic | based on comic book...<more>",https://fzmovies.net/movie-Eternals--hmp4.htm,https://fzmovies.net/imdb_images/Eternals.2021.jpg
Sci-Fi,Hollywood,Sonic the Hedgehog,2020,BluRay,"Based on the global blockbuster videogame franchise from Sega, SONIC THE HEDGEHOG tells the story of the world's speediest hedgehog as he embraces his new home on Earth. In this live-action adventure comedy, Sonic and his new best friend Tom (James Marsden) team up to defend the planet from the…...<more>",https://fzmovies.net/movie-Sonic%20the%20Hedgehog--hmp4.htm,https://fzmovies.net/imdb_images/Sonic.The.Hedgehog.2020.jpg
Sci-Fi,Hollywood,Ant-Man and the Wasp,2018,BluRay,"In the aftermath of 'Captain America: Civil War,' Scott Lang grapples with the consequences of his choices as both a Super Hero and a father. As he struggles to re-balance his home life with his responsibilities as Ant-Man, he's confronted by Hope van Dyne and Dr. Hank Pym with an urgent new…...<more>",https://fzmovies.net/movie-Ant-Man%20and%20the%20Wasp--hmp4.htm,https://fzmovies.net/imdb_images/Ant-Man.and.The.Wasp.2018.jpg
Sci-Fi,Hollywood,Incredibles 2,2018,BluRay,"While the Parr family has accepted its collective calling as superheroes, the fact remains that their special heroism is still illegal. After they are arrested after unsuccessfully trying to stop the Underminer, their future seems bleak. However, the wealthy Deavor siblings of Devtech offer new…Tags : sabotage...<more>",https://fzmovies.net/movie-Incredibles%202%20--hmp4.htm,https://fzmovies.net/imdb_images/The.Incredibles.2.2018.jpg
Sci-Fi,Hollywood,Captain America Civil War,2016,BluRay,Political interference in the Avengers' activities causes a rift between former allies Captain America and Iron Man.,https://fzmovies.net/movie-Captain%20America%20Civil%20War--hmp4.htm,https://fzmovies.net/imdb_images/Captain.America.Civil.War.2016.jpg
Sci-Fi,Hollywood,Free Guy,2021,BluRay,"A bank teller discovers that he's actually an NPC inside a brutal, open world video game.Tags : bank robbery | two word title...<more>",https://fzmovies.net/movie-Free%20Guy--hmp4.htm,https://fzmovies.net/imdb_images/Free.Guy.2021.jpg
Sci-Fi,Hollywood,Black Widow 2021,2021,BluRay,A film about Natasha Romanoff in her quests between the films Civil War and Infinity War.Tags : superhero | spy | based on comic book...<more>,https://fzmovies.net/movie-Black%20Widow%202021--hmp4.htm,https://fzmovies.net/imdb_images/Black.Widow.2021.jpg
Sci-Fi,Hollywood,Godzilla King of the Monsters,2019,BluRay,"The new story follows the heroic efforts of the crypto-zoological agency Monarch as its members face off against a battery of god sized monsters, including the mighty Godzilla, who collides with Mothra, Rodan, and his ultimate nemesis, the three headed King Ghidorah. When these ancient…...<more>",https://fzmovies.net/movie-Godzilla%20King%20of%20the%20Monsters--hmp4.htm,https://fzmovies.net/imdb_images/Godzilla.King.of.the.Monsters.2019.jpg
Sci-Fi,Hollywood,Rampage 2018,2018,BluRay,"When three different animals become infected with a dangerous pathogen, a primatologist and a geneticist team up to stop them from destroying Chicago. ...<more>",https://fzmovies.net/movie-Rampage%202018--hmp4.htm,https://fzmovies.net/imdb_images/Rampage.2018.jpg
Sci-Fi,Hollywood,Transformers The Last Knight 2017,2017,BluRay,"Autobots and Decepticons are at war, with humans on the sidelines. Optimus Prime is gone. The key to saving our future lies buried in the secrets of the past, in the hidden history of Transformers on Earth. ...<more>",https://fzmovies.net/movie-Transformers%20The%20Last%20Knight%202017--hmp4.htm,https://fzmovies.net/imdb_images/Transformers.The.Last.Knight.2017.jpg
Sci-Fi,Hollywood,Spider Man Homecoming 2017,2017,BluRay,"Peter Parker, with the help of his mentor Tony Stark, tries to balance his life as an ordinary high school student in New York City while fighting crime as his superhero alter ego Spider-Man when a new threat emerges....<more>",https://fzmovies.net/movie-Spider%20Man%20Homecoming%202017--hmp4.htm,https://fzmovies.net/imdb_images/Spider-Man.Homecoming.(2017).jpg
